date,description,amount,category
2024-03-01,Monthly salary,3000.00,Income
2024-03-03,Grocery shopping,-85.50,Food
2024-03-05,Client payment,500.00,Freelance Income
2024-03-10,Electric bill,-65.20,Utilities
2024-03-15,New laptop for work,-1200.00,Equipment
2024-03-18,Dinner with friends,-75.30,Entertainment
2024-03-22,Uber ride,-15.75,Transportation
2024-03-25,Online course subscription,-49.99,Education
2024-03-28,Haircut,-30.00,Personal Care
2024-03-31,Rent payment,-800.00,Housing
2024-04-01,Monthly salary,3000.00,Income
2024-04-04,Office supplies,-45.00,Business Expenses
2024-04-07,Gym membership,-50.00,Health
2024-04-10,Client meeting coffee,-12.50,Business Meals
2024-04-15,Smartphone bill,-60.00,Utilities
2024-04-18,Birthday gift for mom,-100.00,Gifts
2024-04-22,Gasoline,-40.00,Transportation
2024-04-25,Freelance project payment,750.00,Freelance Income
2024-04-28,Home internet,-55.00,Utilities
2024-04-30,Grocery shopping,-92.75,Food
2024-05-01,Monthly salary,3000.00,Income
2024-05-03,Car insurance,-120.00,Insurance
2024-05-06,Business software subscription,-39.99,Business Expenses
2024-05-10,Concert tickets,-80.00,Entertainment
2024-05-14,Client project materials,-150.00,Business Expenses
2024-05-18,Dentist appointment,-200.00,Healthcare
2024-05-22,Bookstore purchase,-35.00,Education
2024-05-25,Freelance consultation,300.00,Freelance Income
2024-05-28,Restaurant dinner,-55.00,Food
2024-05-31,Rent payment,-800.00,Housing
